腹腔镜基础知识
1.	关于现代电视胸腔镜手术的优势，下列说法不正确的是：C
A.	对确诊结核性腹膜炎有参考价值
B.	粘连型
C.	干酪型
D.	可确定结核性腹膜炎
21.	消毒膀胱镜、腹腔镜选用：C
A.	0.1%洗必泰
B.	70%乙醇
C.	4%甲醛溶液
D.	2.5%碘酊
22.	腹腔镜手术中的人工气腹可产生：E
A.	潮气量下降
B.	肺顺应性下降
C.	呼吸死腔增大
D.	高二氧化碳血症
E.	以上都是
23.	行腹腔镜手术时，气腹压力的上限是：C
A.	5mmHg
B.	15mmHg
C.	20mmHg
D.	35mmHg
E.	40mmHg
（解析：行腹腔镜手术时，气腹压力不应超过20mmHg，过高的腹内压可造成心肺功能紊乱。）
24.	腹部肿瘤腹腔镜分期的突出优点为：E
A.	可避免不必要的开腹
B.	诊断治疗一体化
C.	创伤小、痛苦轻
D.	可直观直接地获取诊断依据
E.	以上均正确
25.	关于腹外疝疝外被盖的组成，下列哪项是错误的：D
A.	皮下组织
B.	皮肤
C.	肌肉
D.	壁层腹膜
E.	筋膜
26.	以下对腹腔镜外科的论述，不正确的是：C
A.	是利用腹腔镜和电视摄影机，将腹腔内情况显示在电视屏幕上，以专用的手术器械通过穿刺套管进行诊断和治疗的一门技术
B.	需在腹腔内注入二氧化碳，形成人工气腹为观察和操作提供空间
C.	腹腔镜已完全可取代传统的外科手术
D.	以开放手术为基础，以开放手术为后盾，与传统腹部外科相辅相成
E.	利用特制拉钩插入腹腔或钢丝穿入皮下，借助机械力把腹壁提起，称免气腹法
27.	手术室的清洁区范围包括：AC
A.	物品准备间
B.	手术间
C.	通向无菌区的走廊
D.	更衣室
E.	洗手间
（解析：手术室严格划分无菌区，清洁区和污染区：手术间属于无菌区；物品准备间、通向无菌区的走廊属于清洁区；更衣室、洗手间属于污染区）
腹腔镜手术基本技巧
28.	肥胖病人穿刺建立气腹时，哪项是正确的：C
A.	可以在腹部任何部位穿刺
B.	气腹压力与一般病人相同
C.	气腹压略高于一般病人
D.	气腹压略低于一般病人
E.	不采用开放式腹腔镜手术
29.	电凝止血的原理是：B
A.	机械作用使血液凝结
B.	电热作用使血液凝结
30.	电凝不造成心室纤颤的主要原因是：C
A.	低电压
B.	低电流
C.	高频率
D.	持续时间短
E.	能量低
31.	电凝止血的优点：ABDE
A.	止血迅速
B.	减少切口内线结
C.	适用于较大血管出血
D.	常用于浅部较广泛的小出血点
E.	用于不易结扎的渗血
（解析：电凝止血是利用高频感应电流，通过接触棒接触出血点，使组织蛋白凝固而止血。此法虽止血迅速，但止血效果不完全可靠，可因凝固组织脱落而再次出血，较大血管出血应以结扎止血为宜，防止继发性出血。大血管附近及皮肤等处出血也不宜采用电凝止血。）
32.	使用双极电凝止血的最佳时间是：B
A.	0.7秒
B.	0.5秒
C.	0.8秒
D.	0.2秒
33.	腹腔镜妇科手术中，为什么圆韧带的中部是最恰当的电凝切断部位：D
A.	血管最少
B.	距离髂血管最远
C.	距离子宫动脉最远
D.	以上都是
34.	腹腔镜术中建立气腹时，不正确的是：D
A.	注射器内的盐水迅速流入腹腔
B.	流量计在4L/min时不应超出。1.73kPa
C.	Palmer抽吸试验阳性
D.	消瘦患者的腹壁突破感不明显
E.	有两次突破感
35.	保留卵巢时，哪个部位是电凝切断的最佳部位：A
A.	输卵管峡部
B.	输卵管
C.	输卵管伞端
D.	宫底
可能带来的并发症
36.	有关气腹并发症，错误的是：C
A.	气腹可引起下肢静脉血栓形成
B.	二氧化碳气腹可导致心律失常
C.	皮下气肿的形成与穿刺技术无关
D.	术后可出现肩背部酸痛
E.	气体栓塞主要是气腹针刺入腹膜后血管内，血流内气体逐渐积聚成气泡形成气栓
37.	气腹针穿刺的常见并发症是：B
A.	胃损伤
B.	血管损伤
C.	胆道损伤
D.	肝损伤
E.	小肠损伤
38.	腹腔镜胆囊切除术后发生腹腔内残余结石可能引起的并发症有：E
A.	肠坏死、肠梗阻
B.	腹腔脓肿
C.	膀胱穿孔
D.	手术切口胆囊结石病
E.	以上都是
39.	腹腔镜人工气腹的并发症包括：ABCDE
A.	气胸
B.	皮下气肿
C.	纵膈气肿
D.	气体栓塞
E.	心律失常
40.	患者女性，27岁。上腹部疼痛6小时后转移至右下腹，呈持续性疼痛，阵发性加剧，伴呕吐。查体：T39.7℃，P100次/分，R24次/分，BP120/75mmHg，腹肌紧张，压痛、反跳痛（+）。确诊为单纯性阑尾炎穿孔，行腹腔镜阑尾切除术。可能出现的并发症有：ABCDF
A.	腹腔感染
B.	伤口感染
C.	腹腔内出血
D.	皮下气肿
E.	膈下脓肿
F.	肠梗阻
41.	二氧化碳气腹引起高碳酸血症和酸碱平衡紊乱与哪些因素有关E
A.	气腹压的作用
B.	二氧化碳蓄积作用
C.	二氧化碳经腹膜吸收入血
D.	手术时间长
E.	以上都是
42.	因CO2气腹导致的最严重并发症为D
A.	皮下气肿
B.	酸中毒
C.	心律失常
D.	气体栓塞
E.	气胸
（解析：腹腔镜是以气体为透视介质的内镜，建立气腹是实施腹腔镜手术的方法之一。但随之也出现了与之相关的并发症，如皮下气肿、气体栓塞、高碳酸血症、心律紊乱、心跳骤停、术后颈肩痛等。其中围手术期气栓的发生导致的死亡引起人们的高度重视。）
43.	有关腹腔镜气腹早期并发症下列哪一项是不恰当的A
A.	脑水肿
B.	气胸或纵隔气肿
C.	气体栓塞
D.	心律失常
E.	高碳酸血症
44.	与开腹手术相比，下列哪项是腹腔镜胆囊切除术的特殊并发症：D 
A.	腹腔出血
B.	胆总管损伤
C.	切口感染
D.	皮下气肿
E.	胆瘘
45.	与开腹手术比较下列哪项是腹腔镜胆囊切除术的特殊并发症：E
A.	腹腔出血
B.	胆道损伤
C.	切口感染
D.	胆瘘
E.	气体栓塞
46.	女性，38岁，因右上腹疼痛1天来诊。查体：见巩膜黄染，体温39.5摄氏度，右上腹肌紧张。胆管内有结石，如果不及时治疗，其最严重的并发症是：C
A.	胆管炎性狭窄
B.	肝源性肝脓肿
C.	休克
D.	胆道出血
E.	胆囊穿孔
适应症、禁忌症和注意事项
47.	以下为胆囊切除手术相对禁忌症的是：C
A.	中、后期妊娠
B.	凝血功能障碍
C.	亚急性胆囊炎
D.	胆囊癌合并胆囊结石
E.	肝硬化门脉高压症
48.	下述那种情况，急性胆囊炎不宜行腹腔镜胆囊切除术：B
A.	高龄患者伴有糖尿病，发病48小时
B.	发病时间大于72小时
C.	右上腹压痛、肌紧张，莫菲征阳性
D.	发病时间小于72小时
E.	肥胖患者
49.	下列情况不适合行腹腔镜手术的是：E
A.	乙状结肠癌
B.	升结肠癌
C.	无法在结肠镜下电切的结肠绒毛状腺瘤
D.	直肠癌
E.	肿瘤大于10cm
50.	胸腔镜手术的最佳适应证：A
A.	周围型肺结节诊断
B.	右主支气管旁淋巴结肿大诊断
C.	中心型肺癌诊断
D.	支气管扩张症诊断
E.	胸壁肿物诊断
51.	下列哪项不是腹腔镜胆囊切除术的手术适应症：D
A.	有症状的胆囊结石
B.	糖尿病病人的无症状的胆囊结石
C.	经常发作的慢性胆囊炎
D.	高度怀疑胆囊癌
E.	胆囊息肉
52.	禁忌采用腹腔镜胆囊切除术的是：D
A.	胆囊结石
B.	慢性胆囊炎
C.	胆囊息肉
D.	有出血倾向
E.	胆囊结石继发胆管结石
53.	下列哪些疾病可以使用腹腔镜手术治疗：ABCDE
A.	结直肠癌
B.	胆囊结石
C.	阑尾切除术
D.	肝囊肿开窗术
E.	脾切除术
54.	腹腔镜下阑尾切除术的适应证包括：BCE
A.	盲肠壁内阑尾炎
B.	急性化脓性阑尾炎
C.	急性单纯性阑尾炎
D.	阑尾炎穿孔性腹膜炎
E.	慢性阑尾炎
55.	以下哪种手术适用于腹腔镜：D
A.	人工流产
B.	包皮手术
C.	腓骨骨折
D.	胆囊结石
E.	怀孕37周
56.	下述哪些患者不宜实施腹腔镜手术D
A.	糖尿病患者
B.	既往行剖宫产手术，现准备行胆囊切除术的患者
C.	年龄大于岁的患者
D.	有凝血功能障碍而凝血功能未纠正的患者
E.	特发性血小板减少性紫癜准备行脾切除的患者
57.	下列哪项不是腹腔镜胆囊切除术的禁忌证A
A.	胆囊无功能
B.	高度怀疑胆囊癌
C.	伴严重腹腔内感染
D.	重度肝硬化门静脉高压症
E.	6个月以上妊娠
58.	下述哪项是腹腔镜胆囊切除术的禁忌证B
A.	慢性胆囊炎患者
B.	可疑合并胆囊结肠瘘的胆囊结石患者
C.	患者年龄＞80岁
D.	有症状的胆囊结石患者
E.	胆囊胆固醇性息肉的患者
59.	下述哪项不适合行腹腔镜手术E
A.	乙状结肠癌
B.	升结肠癌
C.	无法在结肠镜下电切的结肠绒毛状腺瘤
D.	直肠癌
E.	肿瘤＞10cm
60.	下述哪项不是腹腔镜胆囊切除术的手术适应证E
A.	慢性结石性胆囊炎
B.	急性结石性胆囊炎
C.	胆囊息肉
D.	既往曾行剖宫产手术的胆囊结石患者
E.	妊娠合并胆囊结石者
61.	腹腔镜胰腺手术主要应用于哪些方面E
A.	不能切除者的腹腔镜姑息性手术
B.	胰腺肿瘤切除
C.	胰腺癌的腹腔镜分期
D.	引流胰腺假性囊肿
E.	以上均正确
62.	下述哪些疾病可以使用腹腔镜手术治疗E
A.	胆囊结石
B.	结直肠癌
C.	阑尾切除术
D.	肝囊肿开窗术,脾切除术
E.	以上均可
63.	下列腹腔镜手术中穿刺建立气腹的注意事项，不正确的是：E
A.	术前留置胃管和尿管，防止胃及膀胱过度膨胀引起损伤
B.	选择合适的、性能良好的气腹针和套管针
C.	无腹部手术史者可采用脐上缘、脐下缘切口穿刺
D.	有腹部手术史者尽可能远离原切口5cm以上穿刺
E.	穿刺皮肤切口应稍小于穿刺套管的直径，以防漏气
64.	下列哪项不是腹腔镜脾脏切除的手术适应症：C
A.	特发性血小板减少性紫癜者
B.	脾良性占位性病变者
C.	脾恶性肿瘤者
D.	脾损伤者
E.	门静脉高压症伴脾功能亢进，轻、中度脾大者
65.	腹腔镜的手术操作注意事项中，不正确的是：D
A.	手术时需保持有效的气腹，腹内压应保持在12~15cmH2O
B.	腹腔镜与手术器械的方向宜一致
C.	一般来讲，穿刺孔间的距离应足够大，以免腹腔镜与手术器械相互干扰
D.	主要操作套管之间应成90度
E.	手术器械以腹壁为支点，操作方向和常规手术相反
66.	下列属于腹腔镜手术适应症的是：E
A.	脾切除
B.	肝胆系手术
C.	胃肠道手术
D.	泌尿系手术
E.	以上都是
术后处理
67.	子宫全切术后阴道残端出血的原因：E
A.	残端血管结扎不牢
B.	残端缝合不严密
C.	肠线融化吸收不良
D.	炎症感染所致
E.	以上均有可能
68.	关于胃大部切除术后十二指肠残端瘘的临床表现和治疗,错误的是：
A.	术后突发上腹部剧痛、腹膜刺激征、发热
B.	腹部穿刺可抽出胆汁样液体
C.	一旦确诊,应立即手术
D.	保守治疗,多数瘘口可自然愈合
E.	手术原则是尽量关闭残端或造瘘,持续腹腔引流
69.	关于胃大部切除术后残胃癌的临床特点，下列错误的是：A
A.	术后3年内残胃发生的原发癌，称为残胃癌
B.	发生率在2%左右
C.	与术后低胃酸、胆汁反流和肠道细菌逆流有关
D.	临床表现与一般胃癌大致相仿
E.	一经确诊应采取手术治疗
70.	关于胃大部分切除术后贫血的原因,下列错误的是：E
A.	食物不通过十二指肠，影响铁吸收
B.	食物快速从残胃中排空,小肠蠕动快,影响铁吸收
C.	胃酸减少或缺乏,不利于食物中铁的溶解、游离和吸收
D.	胃黏膜分泌的内因子减少或缺乏,造成维生素B12吸收障碍
E.	免疫机制改变,导致骨髓造血功能障碍
71.	下列胃大部切除术后倾倒综合征的表述，错误的是：B
A.	进食出现心悸、无力、出汗、头晕、呕吐及腹泻症状
B.	见于毕Ⅰ式胃大部切除术后
C.	根据症状在术后和进食后发生的迟早,分为早期和晚期两类
D.	手术预防措施是胃切除不可过多,吻合口不可过大,残胃适当固定
E.	采取饮食调整疗法,手术治疗应慎重
术中处理
72.	腹腔镜在术中造气腹时，下列哪一项是错误的：D
A.	有两次突破感
B.	注射器内的盐水迅速流入腹腔
C.	Palmer抽吸试验阳性
D.	肥胖病人的腹壁突破感明显
E.	流量计在4L/min时不应超出1.73Pa
73.	女性，22岁，因急性阑尾炎4天，行阑尾切除术。应放置腹腔引流的情况是：B
A.	化脓性阑尾炎，周围有混浊性渗出液
B.	阑尾穿孔并已形成局限性脓肿
C.	术中将化脓的阑尾挤破、脓液外溢
D.	化脓性阑尾炎合并阑尾腔内粪石梗阻
E.	阑尾穿孔但未形成周围脓肿
74.	在阑尾切除术时哪些情况需放置腹腔引流：BCDE
A.	局部粘连较重
B.	盲肠后位阑尾炎，阑尾坏疽或穿孔时
C.	阑尾残端处理不满意时
D.	局部有较多坏死组织时
E.	阑尾脓肿形成
75.	子宫切除术：A
A.	40岁患者超声发现“子宫肌瘤”，如孕2个多月大小
B.	粘膜下子宫肌瘤脱出阴道内
C.	子宫肌瘤如孕2个月大小，血红蛋白67.0g/L
D.	48岁患者，发现肌瘤3年，如孕50天左右大小
E.	28岁患者，孕1产0，发现肌壁间肌瘤5立方厘米大小
76.	使用双极电凝时，不断用生理盐水冲洗术野目的：D
A.	保持组织湿润、无张力及术野洁净
B.	避免高温影响周围重要组织和结构
C.	减少组织焦痂与电凝镊子的粘附
D.	以上均对
77.	腹腔镜手术中，出现气体栓塞并发症后应采取的措施E
A.	立即解除气腹
B.	吸入纯氧
C.	左侧卧位
D.	通过中央静脉插管抽出右心房，肺动脉内气体
E.	以上均是
78.	有关腹腔镜胆囊切除，胆管损伤的原因，哪项正确E
A.	误认胆总管为胆囊管
B.	误认右侧副肝管为胆囊管
C.	胆囊管过管牵引
D.	钛夹位置不对，阻塞胆总管
E.	以上均是
79.	有关腹腔镜胆囊切除，胆管损伤，哪一项是不正确的：D
A.	“典型”损伤是将胆总管误认为胆囊管
B.	在肝右动脉周围进行电切、电凝、分离，可致胆总管损伤
C.	胆管撕裂伤，即可进行单纯修补
D.	胆管电热损伤后多出现胆瘘，可及早发现
E.	肝外胆管解剖变异也是导致肝外胆管损伤的原因
80.	腹腔镜常用手术体位：E
A.	仰卧位
B.	侧卧位
C.	俯卧位
D.	截石位
E.	以上都是
81.	腹腔镜手术对白时镜子与纱布的距离：B
A.	1?cm
B.	2?cm
C.	3?cm
D.	4?cm
82.	腹腔镜手术对白时需按摄像头的哪个按键：B
A.	P键
B.	W键
C.	Q键
D.	H键
83.	腹腔镜操作中引起脏器损伤最常见的原因是：A
A.	电刀损伤
B.	分离损伤
C.	撕剥损伤
D.	钳夹损伤
E.	牵拉损伤
84.	腹腔镜手术时，人工气腹后对生理的影响包括：CDE
A.	肺顺应性增加
B.	呼气末二氧化碳分压不升高
C.	下腔静脉回流减少，心排量下降
D.	腹腔脏器的供血减少
E.	胃内压升高，有胃液反流趋向
临床诊断
85.	全身情况较差的老年人，临床诊断瘢痕性幽门梗阻。手术治疗宜采取：D
A.	半胃切除术
B.	胃大部切除术
C.	幽门成形术
D.	胃空肠吻合术
E.	胃十二指肠吻合术
86.	胃癌的诊断和鉴别诊断，最有价值的检查方法是：B
A.	胃脱落细胞
B.	胃镜检查
C.	X线钡餐胃肠造影
D.	肠系膜上动脉造影
E.	血CEA检测
87.	男性，52岁。因胆囊炎、胆囊结石，行腹腔境胆囊切隙术，术后恢复正常饮食。术后第4天，突然出现全腹疼痛、恶心、低热。白细胞数升高，X线腹平片显示肠梗阻征象。对该患者的可能处理，下列哪项最直接：B
A.	胃肠减压
B.	剖腹探查
C.	严密观察
D.	穿刺引流
E.	抗生素治疗
88.	男性，52岁。因胆囊炎、胆囊结石，行腹腔境胆囊切隙术，术后恢复正常饮食。术后第4天，突然出现全腹疼痛、恶心、低热。白细胞数升高，X线腹平片显示肠梗阻征象。 首先考虑与手术有关的是：D
A.	胆囊管钛夹脱落
B.	小肠穿刺损伤
C.	胆总管损伤
D.	小肠电热损伤
E.	肝损伤
89.	很难发现，需要宫腔镜、腹腔镜及B超等才能确诊的为：D
A.	始基子宫
B.	幼稚子宫
C.	双子宫
D.	双角子宫
E.	Turner综合征
90.	临床表现为右上腹剧烈绞痛，阵发性加重的是：A
A.	急性单纯性胆囊炎
B.	肝内胆管结石
C.	胆道蛔虫病
D.	急性梗阻性化脓性胆管炎
91.	胆囊结石典型临床表现是：D
A.	右上腹饱胀不适
B.	Mirizzi综合征
C.	胆囊积液
D.	胆绞痛
E.	黄疸
92.	有关腹腔镜探查诊断腹部创伤的指征下列哪些是不恰当的：DE
A.	有腹膜炎体征
B.	怀疑腹腔内有活动性出血但血流动力学稳定者
C.	怀疑腹内脏器损伤经保守治疗病情不见好转
D.	严重的复合性损伤
E.	生命体征不稳定者
93.	胆道疾病的病人首选的辅助检查是：A
A.	B超
B.	静脉胆道造影
C.	口服胆囊造影
D.	经皮肝穿刺胆道造影
E.	经内镜逆行胆胰管造影
94.	胆总管结石并发胆管炎病人，非手术治疗期间提示需立即做好急诊手术前准备的指征是：B
A.	黄疸进行性加深
B.	低血压，意识不清
C.	胆囊肿大，有压痛
D.	体温升高
E.	白细胞计数增高
95.	腹腔镜+活检：D
A.	渗出型
B.	粘连型
C.	干酪型
D.	可确定结核性腹膜炎
E.	对确诊结核性腹膜炎有参考价值
96.	妊娠期急性阑尾炎的特点是：BCDE
A.	穿孔率高
B.	大网膜难以包裹炎症的阑尾
C.	肌紧张不明显
D.	炎症不易局限
E.	压痛位置常较高
97.	以下哪种情况下行全子宫切除术：B
A.	轻度不典型增生
B.	重度不典型增生
C.	镜下早期浸润癌
D.	浸润癌Ⅰa2期
E.	浸润癌Ⅱa
（解析：CINⅢ级者，行子宫全切术，年轻患者若迫切要求生育，可行宫颈锥切除术。）
98.	关于总胆管直径的正确叙述是：D
A.	正常小于5mm，大于7mm为扩张
B.	正常小于6mm，大于8mm为扩张
C.	正常小于7mm，大于9mm为扩张
D.	正常小于8mm，大于10mm为扩张
E.	正常小于9mm，大于11mm为扩张
99.	胆囊增大的标准是胆囊横径大于：D
A.	30mm
B.	35mm
C.	40mm
D.	45mm
E.	50mm
100.	胆囊结石与胆囊息肉超声最主要鉴别点是：ABC
A.	是否有声影
B.	回声强度
C.	是否随体位改变而移动
D.	是否有血流
E.	体积大小
101.	患者，女，39岁，反复发作右上腹疼痛3年。1天前进食油腻食物后腹痛，继之高热39.2℃，疼痛向右肩背部放射，无黄疸，来院急诊。体格检查：右上腹压痛、反跳痛。为迅速做出诊断，哪项检查最有价值 B
A.	肝功能检查
B.	B超检查
C.	查血尿淀粉酶
D.	腹腔穿刺
E.	血培养+药敏
102.	患者，女，39岁，反复发作右上腹疼痛3年。1天前进食油腻食物后腹痛，继之高热39.2℃，疼痛向右肩背部放射，无黄疸，来院急诊。体格检查：右上腹压痛、反跳痛。该病人最可能的诊断是 C
A.	肝脓肿
B.	壶腹部肿瘤
C.	急性胆囊炎、胆囊结石
D.	急性梗阻性化脓性胆管炎
E.	急性胰腺炎
103.	患者，女，39岁，反复发作右上腹疼痛3年。1天前进食油腻食物后腹痛，继之高热39.2℃，疼痛向右肩背部放射，无黄疸，来院急诊。体格检查：右上腹压痛、反跳痛。宜采取何种手术方式 D
A.	胆总管切开引流
B.	胆囊造瘘术
C.	腹腔镜胆囊切除术
D.	胆囊切除术
E.	胆肠内引流术
104.	女性，27岁，停经53天，因为不规则出血3天，左下腹部剧痛3小时入院，血压89/50mmHg，面色苍白，神志清；诊断异位妊娠可能，休克；适合的手术方式A
A.	开腹部探查手术
B.	腹腔镜探查手术
C.	宫腔镜检查手术
D.	保守治疗
E.	以上都是
105.	腹腔镜手术时，人工气腹的影响不包括：A
A.	肺顺应性增加
B.	呼气末二氧化碳分压不升高
C.	心排血量下降
D.	术后恶心呕吐发生率较高
E.	胃内压升高，有胃液反流趋向
（解析：气道阻力加大，顺应性降低）
腹腔镜设备、器械及配件
106.	凡进入人体无菌组织，器官或经外科切口进入无菌腔室的内镜及其附件，如腹腔镜、关节镜、脑室镜、膀胱镜、宫腔镜等，用前应达到：A
A.	灭菌水平
B.	高效消毒
C.	中效消毒
D.	低效消毒
E.	清洁水平
107.	套管包括以下哪种：ABC
A.	刚性和柔性
B.	钢管
C.	铁皮
D.	铸造
108.	腹腔镜手术结束时，关闭气腹机的顺序依次为：A
A.	关闭进气开关、关气瓶开关、打开进气开关、放余气、关闭进气开关
B.	关闭瓶开关、打开进气开关、关闭进气开关、放余气、关闭进气开关
C.	关闭瓶开关、关闭进气开关、打开进气开关、放余气、关闭进气开关
D.	关闭瓶开关、放余气、关闭进气开关、打开进气开关、关闭进气开关
109.	频繁开关腹腔镜设备会影响其使用寿命，因此两次开机时间最好间隔：D
A.	1分钟
B.	3分钟
C.	5分钟
D.	8分钟
110.	腹腔镜设备属于贵重仪器，其保存的最佳温度和湿度分别为：A
A.	温度：20~30摄氏度，湿度：70%
B.	温度：18~20摄氏度，湿度：60%
C.	温度：17~20摄氏度，湿度：50%
D.	温度：16~20摄氏度，湿度：40%
111.	腹腔镜手术时，为了防止术者视觉疲劳，监视器应摆放于：B
A.	术者视平线下10度
B.	术者视平线下15度
C.	术者视平线下20度
D.	术者视平线下30度
112.	腹腔镜手术的冲洗液多选用：A
A.	0.9%氯化钠
B.	10%葡萄糖
C.	5%甘露醇
D.	低右旋糖苷
113.	不能高压灭菌的腹腔镜器械的消毒灭菌，应首选：A
A.	环氧乙烷灭菌
B.	2%碱性戊二醛浸泡
C.	75%酒精浸泡
D.	酸性氧化电位水浸泡
114.	腹腔镜的图像显示系统，不包括：D
A.	窥镜
B.	冷光源
C.	导光束
D.	气腹针、气腹机、二氧化碳气瓶
E.	摄像机和显示器
115.	腹腔镜镜面起雾的原因是以下哪一项：A
F.	腹腔和镜面温度不同形成水汽所造成
G.	腹腔里面的积液所造成
H.	镜面表面的保护油体所造成
I.	腹腔镜的冷光源进入腹腔所造成
J.	以上都是
116.	腹腔镜镜头所用光源是：B
A.	热光源
B.	冷光源
C.	冷光源和热光源
D.	日光源
E.	日光源和冷光源
117.	自动气腹机为手术提供视像条件和手术空间，其小儿的气腹压力一般维持在：A
A.	8~10 mmHg
B.	10~15 mmHg
C.	12~14 mmHg
D.	14~18 mmHg
118.	腹腔镜清洗完后用以下哪种消毒液抹镜面：
A.	75%酒精
B.	95%酒精?
C.	二臭海因??
D.	酶液
119.	腹腔镜手术气腹首选一下那种气体：B
A.	氧气
B.	二氧化碳
C.	氮气
D.	压缩空气
120.	腹腔镜手术气腹所选用的气体的优点包括：D
A.	是惰性气体，不易引起气体化学反应
B.	不会引起较多烟雾，不会影响手术野
C.	在人体内存留，血液溶解度高，人的机体是可以吸收它。经肺容易呼出，不易因吸收过多引发高碳酸血症
D.	以上均正确
121.	腹腔手术气腹机的预测压为：D
A.	小于11mmHg
B.	小于12mmHg
C.	小于16?mmHg
D.	小于15?mmHg?
122.	转换器的作用：A
A.	转换不同直径器械时防漏气
B.	方便去标本
C.	放标本袋
D.	放器械?
123.	使用腔镜酶液泡腹腔镜特殊器械时比例为：A
A.	1：270
B.	1：170
C.	1：370
D.	1：270：1
124.	与高频电刀相比，以下超声刀的优点，正确的是：E
A.	切割精确，凝固效果好，不会产生高热及伤到邻近组织
B.	对直径小于3mm的血管，可直接凝固切断，缩短了手术时间
C.	极少产生烟雾和焦痂，术野清晰，无电流通过机体，不发生传导性组织损伤
D.	对各种监护仪器不产生干扰，可在装有心脏起搏器的患者手术中安全使用
E.	以上都是
